# collected: 2026-09-23 08:02 KST
# window: 2026-09-22 00:00 ~ 2026-09-23 08:02 KST
# part 1 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-23 07:44 | topstarnews.net | 이재명 대통령 지적 뒤 공소청 몸집 축소…검사 15~20%·수사관 69% 감축 | https://www.topstarnews.net/news/articleView.html?idxno=16208103 | b12?
2026-09-23 07:38 | 헤럴드경제 | [헤럴드포토] 롯데물산, 아이들과 함께하는 555 과학교실 운영 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-23 07:30 | 이투데이 | 이찬진, ‘금융지주 CEO 승계절차 개선’ 재차 강조⋯”임추위 역할 보장” - 이투데이 | google:이투데이 | sw
2026-09-23 07:29 | 이투데이 | KB증권, "대한항공, 고운임 안착·아시아나 손익 개선 필연적…목표가 5%↑" - 이투데이 | google:이투데이 | sw
2026-09-23 07:20 | 이투데이 | 李대통령 “싸울 필요 없는 평화가 확실한 안보”…구테레쉬 “한반도 정책 적극 지지” - 이투데이 | google:이투데이 | sw
2026-09-23 07:11 | 경향신문 | 유엔본부서 미·이란 3시간 회담···트럼프 “아주 좋은 회담, 이란은 위대한 국가 될 수 있어” - 경향신문 | google:경향신문 | sw
2026-09-23 07:11 | 이투데이 | 광주권 시내버스 103→115개 노선…10월 31일 개편 시행 - 이투데이 | google:이투데이 | sw
2026-09-23 07:11 | 이투데이 | [전일 주요공시] 포스코퓨처엠ㆍLG씨엔에스ㆍHJ중공업 등 - 이투데이 | google:이투데이 | sw
2026-09-23 07:05 | 아시아경제 | 남자 혼계영 400m 동메달…2회 연속 아시안게임 메달 - 아시아경제 | google:아시아경제 | sw
2026-09-23 07:04 | 이투데이 | 전남광주교육청, 직업계고 반도체 특화학교 맞춤형 지원 - 이투데이 | google:이투데이 | sw
2026-09-23 07:00 | 뉴시스 | [신간]스티븐 킹 66번째 장편…'절대 쫄지마' - 뉴시스 | google:뉴시스 | sw
2026-09-23 07:00 | 이투데이 | “치매 치료, 운전ㆍ요리 등 일상 생활 지키는 시대 돼야” - 이투데이 | google:이투데이 | sw
2026-09-23 06:57 | 이투데이 | 李대통령 “한반도 전쟁 종식·평화체제 구축”…북ㆍ미 대화 재개 촉구 - 이투데이 | google:이투데이 | sw
2026-09-23 06:38 | 이투데이 | 국제유가, 사우디 원유수출 회복 기대에 하락⋯미ㆍ이란 협상도 영향 [상보] - 이투데이 | google:이투데이 | sw
2026-09-23 06:32 | 매일노동뉴스 | - 매일노동뉴스 | google:매일노동뉴스 | sw
2026-09-23 06:20 | dnews.co.kr | 2000억달러 대미투자 포문 열었다 - dnews.co.kr | google:dnews.co.kr | sw
