# collected: 2026-09-18 08:01 KST
# window: 2026-09-17 00:00 ~ 2026-09-18 08:01 KST
# part 2 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-17 16:09 | 연합뉴스 | 카카오게임즈, 해킹으로 140명 개인정보 유출…"진심 사과" - 연합뉴스 | google:연합뉴스 | sw
2026-09-17 16:09 | yna.co.kr | 남산에 케이블카 말고 곤돌라는 안되나…법원 제동에 사업 표류 | https://www.yna.co.kr/view/AKR20260917146400004?input=1195m | b18?,b5?
2026-09-17 16:07 | 이투데이 | '미프진', 그것이 알고 싶다 [이슈크래커] - 이투데이 | google:이투데이 | sw
2026-09-17 16:06 | 한국경제 | 한동훈, '가장 신뢰하는 정치인' 1위…李대통령 제쳤다 [한국갤럽] - 한국경제 | google:한국경제 | sw
2026-09-17 16:03 | 서울경제 | [속보] 교육부 “구제 따른 대학 경쟁률 변화 미미…0.001% 올라” - 서울경제 | google:서울경제 | sw
2026-09-17 16:01 | 대한경제 | 쌍용건설, ‘남부내륙철도 9공구’ 수주 초읽기 - 대한경제 | google:대한경제 | sw
2026-09-17 16:00 | 뉴시스 | 외교부, '호르무즈 파병' 당정 온도차 논란에 "당에서도 여러 스펙트럼 있을 것"(종합) - 뉴시스 | google:뉴시스 | sw
2026-09-17 16:00 | 대한경제 | 시몬스침대, 이천시에 생활용품 기탁…누적 기부 규모 7억원 돌파 - 대한경제 | google:대한경제 | sw
2026-09-17 16:00 | 경향신문 | [속보]‘경쟁률 보고 지원’ 3건 취소 권고…수시 먹통 354건 구제 - 경향신문 | google:경향신문 | sw
2026-09-17 16:00 | 뉴시스 | '수시 먹통' 354건 최종 접수…'경쟁률 본 뒤 접수' 3건 취소 권고 - 뉴시스 | google:뉴시스 | sw
2026-09-17 15:56 | 뉴시스 | 우송정보대 헤어디자인전공, 고교 학과탐방 프로그램 등[교육소식] - 뉴시스 | google:뉴시스 | sw
2026-09-17 15:56 | 아시아경제 | 네이버, 배달의민족 지분 인수 없던 일로…"경영환경 변화" - 아시아경제 | google:아시아경제 | sw
2026-09-17 15:56 | incheontoday.com | "국민의힘, 중노위 부평구 사용자성 인정하자 노란봉투법 흠집" | https://www.incheontoday.com/news/articleView.html?idxno=323817 | b21?
2026-09-17 15:54 | 스포츠경향 | [단독] 고지용·허양임, 이혼 당시 “언제든 만나” 합의했는데 ‘일방 파기’ - 스포츠경향 | google:스포츠경향 | sw
2026-09-17 15:53 | 경향신문 | “누구도 빼앗을 수 없는 변화”···마흐사 아미니 4주기, ‘여성·생명·자유’는 계속된다 - 경향신문 | google:경향신문 | sw
2026-09-17 15:52 | 뉴시스 | [보령소식]시, 문해한마당 성인문해교육 시화전 시상 등 - 뉴시스 | google:뉴시스 | sw
2026-09-17 15:52 | newstomato.com | '남산 곤돌라' 2심도 패소···서울시 "대법원 상고 검토" | http://www.newstomato.com/ReadNews.aspx?no=1314073&inflow=N | b18?,b5?
2026-09-17 15:51 | 대한경제 | 전북 전주시, 전주대대 이전ㆍ천마지구 개발 본궤도… 협약동의안 가결 - 대한경제 | google:대한경제 | sw
2026-09-17 15:51 | 경향신문 | 해외 ‘먹는 비만치료제’ 이르면 내년 국내 상륙…“체중 감량 효과” VS “복약 편의성” - 경향신문 | google:경향신문 | sw
2026-09-17 15:50 | 한국경제 | '올릴 땐 초스피드' 닭고기 가격 하락에 눈치보는 치킨업계 - 한국경제 | google:한국경제 | sw
2026-09-17 15:49 | 뉴시스 | [교육소식]대덕대 K-외식조리과 이웃 명절음식 나눔 등 - 뉴시스 | google:뉴시스 | sw
2026-09-17 15:48 | 아시아경제 | 포항시, 시의회와 정책 협력 강화… 포스코 파업 대비 '지역경제 위기대응' 총력 - 아시아경제 | google:아시아경제 | sw
2026-09-17 15:47 | sedaily.com | 서울시, 남산 곤돌라 항소심 패소에 “납득하기 어려워…대법원 상고 검... | https://www.sedaily.com/article/20092187?ref=naver | b18?,b5?
2026-09-17 15:46 | 이투데이 | 목동8단지 수주전 나선 대우건설…아룹 등 글로벌 설계사와 협업 - 이투데이 | google:이투데이 | sw
