# collected: 2026-09-10 08:02 KST
# window: 2026-09-09 00:00 ~ 2026-09-10 08:02 KST
# part 2 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-09 15:56 | 경향신문 | 트럼프, 독일 극우 정당 압승 축하···“MGGA! 독일을 다시 위대하게” - 경향신문 | google:경향신문 | sw
2026-09-09 15:53 | newsis.com | [산청소식]의용소방대, 소방기술경연 심폐소생술 1위 등 - newsis.com | google:newsis.com | sw
2026-09-09 15:53 | newsis.com | 황정호 계룡시의원 "변화를 읽고 한발 먼저…'선제 행정' 전환" 촉구 - newsis.com | google:newsis.com | sw
2026-09-09 15:52 | daily.hankooki.com | 4대 금융지주 회장들, '밸류업 세일즈' 나선다...자사주 사고 해외 IR | https://daily.hankooki.com/news/articleView.html?idxno=1404353 | c17?,c24?
2026-09-09 15:50 | 대한경제 | 김민석, 전북서 예산ㆍ균형성장 행보…“새만금, 세계경제 전진기지” - 대한경제 | google:대한경제 | sw
2026-09-09 15:50 | 경향신문 | 구글, 유럽 내 검색 시스템 전면 개편···호텔·외식 가격비교 플랫폼이 웃는 까닭은? - 경향신문 | google:경향신문 | sw
2026-09-09 15:48 | news1.kr | "불법 대부약정에 여권 빼앗아"…인권단체, 계절근로 브로커 엄벌 촉구 | https://www.news1.kr/local/gwangju-jeonnam/6285175 | c14?
2026-09-09 15:44 | newsis.com | 한동훈 "검찰로부터 자료 받은 거 없어… 김민석 고발할 것" [뉴시스Pic] - newsis.com | google:newsis.com | sw
2026-09-09 15:44 | 대한경제 | 국제유가 100달러 눈앞…에너지시설 타격 땐 150달러 전망도 - 대한경제 | google:대한경제 | sw
2026-09-09 15:44 | 대한경제 | 삼성증권 발행어음 시장 진출 - 대한경제 | google:대한경제 | sw
2026-09-09 15:44 | tjb.co.kr | 농촌 어르신 집으로 가는 폐기물 수거차...충남 '탄소중립 우수사례' 전... | https://www.tjb.co.kr/news05/bodo/view/id/103403 | c1?
2026-09-09 15:44 | mk.co.kr | 금감원 “중·후순위 고위험 펀드 신중히 설계”…강제처분 구조 집중심... | https://www.mk.co.kr/article/12148311 | c19?
2026-09-09 15:44 | 이투데이 | 역대급 기업실적, 걷어보니 '반도체 독주'⋯中企는 빚 늘었다 - 이투데이 | google:이투데이 | sw
2026-09-09 15:42 | 한국경제 | '탈팡' 넘어 질주하는 쿠팡…결제액 더 커져 '5조원대' - 한국경제 | google:한국경제 | sw
2026-09-09 15:42 | 경향신문 | 트럼프 ‘문화 전쟁’ 맞선 스미스소니언 수장 사임 - 경향신문 | google:경향신문 | sw
2026-09-09 15:38 | 아시아경제 | 코스닥, 18.49P 오른 830.37 마감(2.28%↑) - 아시아경제 | google:아시아경제 | sw
2026-09-09 15:37 | labortoday.co.kr | [장기투쟁의 이유 ①] 세종호텔 문제, 대양학원과 교육부가 답해야 - labortoday.co.kr | google:labortoday.co.kr | sw
2026-09-09 15:34 | newsis.com | 가평군, 명지산 생태전시관서 '가평을 만나다' 특별전 - newsis.com | google:newsis.com | sw
2026-09-09 15:34 | daejonilbo.com | 노봉법 이전 원청 적용 "현대제철, 협력사 파업시 대체투입 무죄" | https://www.daejonilbo.com/news/articleView.html?idxno=2299931 | c13?
2026-09-09 15:33 | 아주경제 | [속보] ​​​​​​​코스피, 97.12p(1.40%) 오른 7051.64 마감 - 아주경제 | google:아주경제 | sw
