# collected: 2026-09-16 08:02 KST
# window: 2026-09-15 00:00 ~ 2026-09-16 08:02 KST
# part 4 of 4, lines: 37
# format: date | media | title | url | tags

2026-09-15 06:25 | 연합뉴스 | 美대통령 보수의 7배…전 세계 대통령·총리 중 연봉킹은? - 연합뉴스 | google:연합뉴스 | sw
2026-09-15 06:14 | 이투데이 | 아시안게임 한국 축구대표팀, 오늘 카타르와 격돌 - 이투데이 | google:이투데이 | sw
2026-09-15 06:12 | 연합뉴스 | "트럼프 장남 결혼식 피로연, 푸틴 측근 러 사업가가 후원" - 연합뉴스 | google:연합뉴스 | sw
2026-09-15 06:07 | 서울경제 | AI 속도조절론에 반도체지수 5.9% ↓...사우디 송유관 폐쇄에 국제유가 상승 [데일리국제금융] - 서울경제 | google:서울경제 | sw
2026-09-15 06:05 | 뉴시스 | 15세 피아니스트 이주언 "콩쿠르 성적보다 행복한 연주"[문화人터뷰] - 뉴시스 | google:뉴시스 | sw
2026-09-15 06:00 | dnews.co.kr | 건협 전북도회, 남북 3축 도로 건설사업 신속 추진 강력 촉구 - dnews.co.kr | google:dnews.co.kr | sw
2026-09-15 06:00 | dnews.co.kr | 모듈러 ‘닥공’…민참 공공주택 잰걸음 - dnews.co.kr | google:dnews.co.kr | sw
2026-09-15 06:00 | 한국경제 | 자율주행 최강자라더니…국내 테슬라 10대 중 8대 '그림의 떡' [이슈+] - 한국경제 | google:한국경제 | sw
2026-09-15 06:00 | 한국경제 | "AI 다음 타자" 젠슨 황이 콕 찍었더니…'이 종목' 25% 뛰었다 - 한국경제 | google:한국경제 | sw
2026-09-15 06:00 | news1.kr | 이소영 중기부 장관 후보자 인사청문회…부동산 논란부터 전문성까지 쟁... | https://www.news1.kr/industry/sb-founded/6289982 | c2?
2026-09-15 06:00 | newspim.com | '안전 최우선' 외친 코레일…잇단 사고에 안전관리 도마 | https://www.newspim.com/news/view/20260914001015 | c9?
2026-09-15 06:00 | 경향신문 | 용혜인 사퇴가 던진 질문…성평등가족부 장관은 어떤 자리인가 - 경향신문 | google:경향신문 | sw
2026-09-15 06:00 | 경향신문 | [르포]다시 경매에 오른 ‘별그대 명소’ 파주 프로방스 마을 …“방문 목적 새로 만들어야” - 경향신문 | google:경향신문 | sw
2026-09-15 06:00 | 경향신문 | [단독]검정 통과했는데···초등 사회 교과서에서 사라진 ‘동학농민혁명’ - 경향신문 | google:경향신문 | sw
2026-09-15 06:00 | 경향신문 | “지더라도 아니할 수 없는 싸움”은 ‘도요새와 팽나무’를 지킬 수 있을까 [포토다큐] - 경향신문 | google:경향신문 | sw
2026-09-15 06:00 | 서울경제 | 중동 고위급 회의 돌연 연기...후티 “봉쇄에는 봉쇄” 점입가경 [글로벌 모닝 브리핑] - 서울경제 | google:서울경제 | sw
2026-09-15 06:00 | 이투데이 | “근육 줄면 기억도 흔들린다” - 이투데이 | google:이투데이 | sw
2026-09-15 06:00 | 이투데이 | 시니어 해외 배움, 돌아온 뒤가 진짜다 - 이투데이 | google:이투데이 | sw
2026-09-15 06:00 | 아시아경제 | 상반기 자동차보험 보험손익 6년 만에 적자전환 - 아시아경제 | google:아시아경제 | sw
2026-09-15 05:38 | 연합뉴스 | 美중간선거 쟁점된 AI…'가속개발 vs 감속통제' 워싱턴 소용돌이(종합) - 연합뉴스 | google:연합뉴스 | sw
2026-09-15 05:33 | 서울경제 | 하루에만 3번 ‘AI속도조절’ 맹폭한 트럼프...“中만 기뻐할 것” - 서울경제 | google:서울경제 | sw
2026-09-15 05:16 | 아시아경제 | [속보]美 10년물 금리 장중 5% 돌파…뉴욕증시 하락 마감 - 아시아경제 | google:아시아경제 | sw
2026-09-15 05:16 | 이투데이 | 장기요양보험료율 - 이투데이 | google:이투데이 | sw
2026-09-15 05:01 | 서울경제 | 트럼프 “호르무즈 도움 안 준 나라, 전쟁 끝난 후 美에 배상해야” - 서울경제 | google:서울경제 | sw
2026-09-15 05:00 | 서울경제 | AI 속도조절론에 놀란 시장…“주가 10% 떨어질 수도” [마켓무버] - 서울경제 | google:서울경제 | sw
2026-09-15 05:00 | 이투데이 | 제도권 막히자 사채의 덫… 불법사금융 범죄 2년 새 2.6배[‘금융절벽’ 취약차주] - 이투데이 | google:이투데이 | sw
2026-09-15 05:00 | 이투데이 | [단독] 대출 거절 뒤 어디로 갔나⋯금융이탈 경로 ‘깜깜’ [‘금융절벽’ 취약차주] - 이투데이 | google:이투데이 | sw
2026-09-15 05:00 | 이투데이 | 에이비엘바이오 담도암 신약 ‘주춤’, 위암 파이프라인 가치 입증할까 - 이투데이 | google:이투데이 | sw
2026-09-15 04:40 | 이투데이 | ‘브라보 마이 라이프’ 자문단 3기 출범 “독자가 답이다” - 이투데이 | google:이투데이 | sw
2026-09-15 04:38 | 이투데이 | 브라보마이라이프, 6페이지 - 이투데이 | google:이투데이 | sw
2026-09-15 04:00 | dnews.co.kr | [기획]세계 각국 기후변화 대응 PC패널 포장 적극 도입 - dnews.co.kr | google:dnews.co.kr | sw
2026-09-15 02:11 | 서울경제 | 美국채 10년물 금리 ‘심리적 저항선’ 5% 터치...2023년 이후 처음 - 서울경제 | google:서울경제 | sw
2026-09-15 00:55 | 이투데이 | “무임수송 손실 7754억 원” 도시철도 노사, 국비 지원 촉구 - 이투데이 | google:이투데이 | sw
2026-09-15 00:55 | 이투데이 | 무임승차65세이상 - 이투데이 | google:이투데이 | sw
2026-09-15 00:30 | 뉴시스 | 김소영의 충격적인 AI 대화…"법원, 인체 실험으로 볼 여지가 있다고 판단" - 뉴시스 | google:뉴시스 | sw
2026-09-15 00:00 | 뉴시스 | 日 언론도 보도한 '마운자로 원정'…"비행기·호텔비 빠지고도 남아" - 뉴시스 | google:뉴시스 | sw
2026-09-15 00:00 | 아시아경제 | 우주위험 대응계획 10년→5년…위성 충돌 위험 커지자 주기 단축 - 아시아경제 | google:아시아경제 | sw
