# collected: 2026-09-08 19:25 KST
# window: 2026-09-07 00:00 ~ 2026-09-08 19:25 KST
# part 5 of 5, lines: 200
# format: date | media | title | url | tags

2026-09-08 08:00 | 연합뉴스 | 2분기 명목 GDP 성장률 47년 만에 최고…실질 GDP는 0.6%↑ - 연합뉴스 | google:연합뉴스 | sw
2026-09-07 10:13 | 아주경제 | [포토] 출근하는 ​​​​​​​김승원 법무부 장관 후보자 - 아주경제 | google:아주경제 | sw
2026-09-08 08:00 | khan.co.kr | 김민석 “공항에서 청와대에 ‘용혜인 부적격’ 의견 전달? 사실과 달라” - khan.co.kr | google:khan.co.kr | sw
2026-09-07 10:13 | 아주경제 | [포토] 김승원, 식약처 부정청탁 안해 - 아주경제 | google:아주경제 | sw
2026-09-08 08:00 | 아시아경제 | [속보]2분기 韓명목성장률, 9.2%…전년 동기比 26.4% - 아시아경제 | google:아시아경제 | sw
2026-09-07 10:12 | 임팩트온 | 【ESG Deal】KKR·싱텔, 50억싱가포르달러 SLL 조달·마이크로소프트, 美 태양광 장기구매·에코네틱스·RWE, CORSIA 크레딧 공급계약 - 임팩트온 | google:임팩트온 | sw
2026-09-08 07:54 | 뉴시스 | 방탄소년단, 북미 투어 마무리…192만 관객과 호흡 - 뉴시스 | google:뉴시스 | sw
2026-09-07 10:12 | news.inochong.org | 재해조사보고서로 본 산업재해의 민낯, 반복되는 죽음은 우연이 아니다 | http://news.inochong.org/detail.php?number=6575&thread=22r16 | c9?
2026-09-08 07:53 | 이투데이 | 靑 “김승원·용혜인, 인사시스템 거쳐 지명…인사청문회 거쳐야” - 이투데이 | google:이투데이 | sw
2026-09-07 10:10 | 연합뉴스 | 김민석 "개헌, 국민 원하는 선까지…민생 최우선·全지역성장 추진" - 연합뉴스 | google:연합뉴스 | sw
2026-09-08 07:49 | 비즈엔터 | 마이티 마우스, G.C 해머(지상렬) 컬래버 ‘소주밤’ 발매 - 비즈엔터 | google:비즈엔터 | sw
2026-09-07 10:10 | khan.co.kr | ‘나혼산’ 전현무 즉흥여행 논란이 낳은 궁금증···일반인도 공항서 즉석 해외여행, 가능할까? - khan.co.kr | google:khan.co.kr | sw
2026-09-08 07:41 | 비즈엔터 | 도경수, ‘도파민’ 발매…밴드부터 발라드까지 꽉 채웠다 - 비즈엔터 | google:비즈엔터 | sw
2026-09-07 10:08 | 매일경제 마켓 | [MK시그널] 미디어알파 매도신호 포착, 수익률 31.2% 달성 - 매일경제 마켓 | google:매일경제 마켓 | sw
2026-09-08 07:34 | the-today.com | 지난해 국감 출석했는데 또 사망…이한우 현대건설 대표, 2년 연속 증인... | https://www.the-today.com/news/articleView.html?idxno=89523 | c19?,c9?
2026-09-07 10:06 | 모바일한경 | 김민석 "북핵 '先동결 後해결' 가능성 감안 안보역량 강화" - 모바일한경 | google:모바일한경 | sw
2026-09-08 07:30 | 뉴시스 | [신간] 소설가란 무엇인가…'도련님은 어떻게 작가가 되었나' - 뉴시스 | google:뉴시스 | sw
2026-09-07 10:05 | 아시아경제 | 필옵틱스, 국내 최초 2.0㎜ 두께 유리기판 공개…TGV '무결점' 기술력 입증 - 아시아경제 | google:아시아경제 | sw
2026-09-08 07:30 | 아시아경제 | 산단 입주기업 수출·내수 판로 한번에 뚫는 행사 열린다 - 아시아경제 | google:아시아경제 | sw
2026-09-07 10:04 | 연합뉴스 | [속보] 김민석 "개헌 추진…권력구조 개편, 국민 원하는 선까지" - 연합뉴스 | google:연합뉴스 | sw
2026-09-08 07:00 | dnews.co.kr | 디폴트옵션 실패 되풀이?…기금형 퇴직연금 ‘수탁법인 무과실 입증’ 논란 - dnews.co.kr | google:dnews.co.kr | sw
2026-09-07 10:02 | 헤럴드경제 | 마사회, 10일·17일 온라인 전용 ‘목요경마’ 시행 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-08 07:00 | 연합뉴스 | '부적절 사건처리' 적발된 경찰관 5년간 355명…파면은 1명뿐 - 연합뉴스 | google:연합뉴스 | sw
2026-09-07 10:02 | 연합뉴스 | 묵묵부답…용혜인 성평등가족부 장관 후보자 출근길 - 연합뉴스 | google:연합뉴스 | sw
2026-09-08 07:00 | 연합뉴스 | 화려한 불꽃축제 이면에는…초미세먼지 폭증·조류 떼죽음 연구도 - 연합뉴스 | google:연합뉴스 | sw
2026-09-07 10:00 | 서울경제 | 집중투표제 앞두고 이사회 줄였다…50대 그룹 이사 47명 감소 - 서울경제 | google:서울경제 | sw
2026-09-08 06:56 | 연합뉴스 | IAEA "韓, 핵잠 도입위한 협의 의향 통보…관련 신고자료 제출" - 연합뉴스 | google:연합뉴스 | sw
2026-09-07 10:00 | 서울경제 | [영상] 강남 재건축 이주 1만 가구… 전월세 시장 불벼락 - 서울경제 | google:서울경제 | sw
